STDR_YYQU_CD,SUD_CD,SVC_INDUTY_CD,YEAR_3_BEING_CO,YEAR_3_OPBIZ_STOR_CO,RELM_AR,THSMON_SELNG_AMT,YEAR_3_BEING_RT,VIATR_FCLTY_CO,HSHLD_INCOME_TOTAMT,POPLTN_CO,RENT_CO,TOT_REPOP_CO,SALE_MT_AVG,TOT_BSN_MT,TOT_STOR_CO,SALE_MT_AVG_90,TOT_BSN_MT_90,TOT_STOR_CO_90,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO
20194,1123000001,CS000000,3,3,4017.032751,1245190178,100,2,160614766,43,1,110,41.8,1003,24,76.3,4119,54,29,29,1,0,0
20194,1123000001,CS200000,1,1,4017.032751,950785846,100,2,160614766,43,1,110,42.3,423,10,97.6,2050,21,13,13,0,0,0
20194,1123000001,CS300000,2,2,4017.032751,246720270,100,2,160614766,43,1,110,41.4,580,14,55.5,1555,28,15,15,1,0,0
20194,1123000001,CS300018,0,0,4017.032751,222720270,0,2,160614766,43,1,110,52,104,2,95,285,3,4,4,1,0,0
20194,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,1,110,28,56,2,20,60,3,2,2,0,0,0
20201,1123000001,CS000000,1,1,4017.032751,1194119579,100,2,160614766,43,2,110,43.3,1039,24,77.5,4185,54,27,27,0,2,0
20201,1123000001,CS200000,0,0,4017.032751,884456033,0,2,160614766,43,2,110,43.5,435,10,99.2,2083,21,11,11,0,2,0
20201,1123000001,CS300000,1,1,4017.032751,273448028,100,2,160614766,43,2,110,43.1,604,14,56.6,1585,28,15,15,0,0,0
20201,1123000001,CS300018,0,0,4017.032751,249448028,0,2,160614766,43,2,110,55,110,2,98,294,3,4,4,0,0,0
20201,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,2,110,31,62,2,22,66,3,2,2,0,0,0
20202,1123000001,CS000000,1,2,4017.032751,1486928526,50,2,160614766,43,5,110,44.8,1075,24,78.7,4251,54,26,26,0,1,0
20202,1123000001,CS200000,0,0,4017.032751,1130768365,0,2,160614766,43,5,110,44.7,447,10,100.8,2116,21,11,11,0,0,0
20202,1123000001,CS300000,1,2,4017.032751,294446504,50,2,160614766,43,5,110,44.9,628,14,57.7,1615,28,14,14,0,1,0
20202,1123000001,CS300018,0,0,4017.032751,270446504,0,2,160614766,43,5,110,58,116,2,101,303,3,4,4,0,0,0
20202,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,5,110,34,68,2,24,72,3,2,2,0,0,0
20203,1123000001,CS000000,0,2,4017.032751,1364119286,0,2,160614766,43,5,110,44.4,1111,25,78.5,4317,55,25,25,1,2,0
20203,1123000001,CS200000,0,0,4017.032751,1083551371,0,2,160614766,43,5,110,41.7,459,11,97.7,2149,22,12,12,1,0,0
20203,1123000001,CS200030,0,0,4017.032751,14524962,0,2,160614766,43,5,110,9.7,29,3,54.5,218,4,2,2,1,0,0
20203,1123000001,CS300000,0,2,4017.032751,226566986,0,2,160614766,43,5,110,46.6,652,14,58.8,1645,28,12,12,0,2,0
20203,1123000001,CS300018,0,0,4017.032751,202566986,0,2,160614766,43,5,110,61,122,2,104,312,3,4,4,0,0,0
20203,1123000001,CS300022,0,0,4017.032751,24000000,0,2,160614766,43,5,110,37,74,2,26,78,3,2,2,0,0,0
20204,1123000001,CS000000,1,3,4017.032751,1512434689,33.33333333,2,160614766,43,5,112,46,1150,25,79.7,4386,55,25,25,0,0,0
20204,1123000001,CS200000,0,0,4017.032751,1272929498,0,2,160614766,43,5,112,43.1,474,11,99.3,2185,22,12,12,0,0,0
20204,1123000001,CS200030,0,0,4017.032751,8521311,0,2,160614766,43,5,112,10.7,32,3,56,224,4,2,2,0,0,0
20204,1123000001,CS300000,1,3,4017.032751,180015450,33.33333333,2,160614766,43,5,112,48.3,676,14,59.8,1675,28,12,12,0,0,0
20204,1123000001,CS300018,0,0,4017.032751,156015450,0,2,160614766,43,5,112,64,128,2,107,321,3,4,4,0,0,0
20204,1123000001,CS300022,0,0,4017.032751,24000000,0,2,160614766,43,5,112,40,80,2,28,84,3,2,2,0,0,0
20211,1123000001,CS000000,1,3,4017.032751,1131323292,33.33333333,2,160614766,43,5,112,45.8,1190,26,79.6,4456,56,26,26,1,0,0
20211,1123000001,CS200000,0,0,4017.032751,915303044,0,2,160614766,43,5,112,44.5,489,11,101,2221,22,12,12,0,0,0
20211,1123000001,CS200030,0,0,4017.032751,7446464,0,2,160614766,43,5,112,11.7,35,3,57.5,230,4,2,2,0,0,0
20211,1123000001,CS300000,1,3,4017.032751,190492537,33.33333333,2,160614766,43,5,112,46.7,701,15,58.8,1706,29,13,13,1,0,0
20211,1123000001,CS300018,0,0,4017.032751,167379223,0,2,160614766,43,5,112,67,134,2,110,330,3,4,4,0,0,0
20211,1123000001,CS300022,0,0,4017.032751,23113314,0,2,160614766,43,5,112,43,86,2,30,90,3,2,2,0,0,0
20212,1123000001,CS000000,2,3,4017.032751,1252796468,66.66666667,2,160614766,43,2,112,37.8,869,23,79.6,4538,57,27,27,1,0,0
20212,1123000001,CS200000,0,0,4017.032751,1029217912,0,2,160614766,43,2,112,31.4,251,8,102.6,2257,22,12,12,0,0,0
20212,1123000001,CS200030,0,0,4017.032751,3059925,0,2,160614766,43,2,112,12.7,38,3,59,236,4,2,2,0,0,0
20212,1123000001,CS300000,2,3,4017.032751,208910177,66.66666667,2,160614766,43,2,112,41.2,618,15,58.3,1749,30,14,14,1,0,0
20212,1123000001,CS300018,0,0,4017.032751,192910177,0,2,160614766,43,2,112,20,20,1,113,339,3,4,4,0,0,0
20212,1123000001,CS300022,0,0,4017.032751,16000000,0,2,160614766,43,2,112,46,92,2,32,96,3,2,2,0,0,0
20213,1123000001,CS000000,3,3,4017.032751,1380056448,100,2,160614766,43,6,112,39.2,901,23,79.6,4619,58,28,28,1,0,0
20213,1123000001,CS000000,3,3,4017.032751,1380056448,100,2,160614766,43,1,112,39.2,901,23,79.6,4619,58,28,28,1,0,0
20213,1123000001,CS000000,3,3,4017.032751,1380056448,100,2,160614766,43,5,112,39.2,901,23,79.6,4619,58,28,28,1,0,0
20213,1123000001,CS200000,0,0,4017.032751,1207122186,0,2,160614766,43,6,112,32.5,260,8,104.2,2293,22,12,12,0,0,0
20213,1123000001,CS200000,0,0,4017.032751,1207122186,0,2,160614766,43,1,112,32.5,260,8,104.2,2293,22,12,12,0,0,0
20213,1123000001,CS200000,0,0,4017.032751,1207122186,0,2,160614766,43,5,112,32.5,260,8,104.2,2293,22,12,12,0,0,0
20213,1123000001,CS200030,0,0,4017.032751,958648,0,2,160614766,43,6,112,13.7,41,3,60.5,242,4,2,2,0,0,0
20213,1123000001,CS200030,0,0,4017.032751,958648,0,2,160614766,43,1,112,13.7,41,3,60.5,242,4,2,2,0,0,0
20213,1123000001,CS200030,0,0,4017.032751,958648,0,2,160614766,43,5,112,13.7,41,3,60.5,242,4,2,2,0,0,0
20213,1123000001,CS300000,3,3,4017.032751,152688351,100,2,160614766,43,6,112,42.7,641,15,57.8,1791,31,15,15,1,0,0
20213,1123000001,CS300000,3,3,4017.032751,152688351,100,2,160614766,43,1,112,42.7,641,15,57.8,1791,31,15,15,1,0,0
20213,1123000001,CS300000,3,3,4017.032751,152688351,100,2,160614766,43,5,112,42.7,641,15,57.8,1791,31,15,15,1,0,0
20213,1123000001,CS300018,0,0,4017.032751,133558493,0,2,160614766,43,6,112,23,23,1,116,348,3,4,4,0,0,0
20213,1123000001,CS300018,0,0,4017.032751,133558493,0,2,160614766,43,1,112,23,23,1,116,348,3,4,4,0,0,0
20213,1123000001,CS300018,0,0,4017.032751,133558493,0,2,160614766,43,5,112,23,23,1,116,348,3,4,4,0,0,0
20213,1123000001,CS300022,1,1,4017.032751,19129858,100,2,160614766,43,6,112,49,98,2,34,102,3,2,2,0,0,0
20213,1123000001,CS300022,1,1,4017.032751,19129858,100,2,160614766,43,1,112,49,98,2,34,102,3,2,2,0,0,0
20213,1123000001,CS300022,1,1,4017.032751,19129858,100,2,160614766,43,5,112,49,98,2,34,102,3,2,2,0,0,0
20214,1123000001,CS000000,2,3,4017.032751,1288614582,66.66666667,2,160614766,43,5,112,40.6,934,23,80.9,4691,58,27,27,0,1,0
20214,1123000001,CS000000,2,3,4017.032751,1288614582,66.66666667,2,160614766,43,1,112,40.6,934,23,80.9,4691,58,27,27,0,1,0
20214,1123000001,CS000000,2,3,4017.032751,1288614582,66.66666667,2,160614766,43,4,112,40.6,934,23,80.9,4691,58,27,27,0,1,0
20214,1123000001,CS200000,0,0,4017.032751,1074962154,0,2,160614766,43,5,112,33.6,269,8,105.9,2329,22,12,12,0,0,0
20214,1123000001,CS200000,0,0,4017.032751,1074962154,0,2,160614766,43,1,112,33.6,269,8,105.9,2329,22,12,12,0,0,0
20214,1123000001,CS200000,0,0,4017.032751,1074962154,0,2,160614766,43,4,112,33.6,269,8,105.9,2329,22,12,12,0,0,0
20214,1123000001,CS200030,0,0,4017.032751,3834590,0,2,160614766,43,5,112,14.7,44,3,62,248,4,2,2,0,0,0
20214,1123000001,CS200030,0,0,4017.032751,3834590,0,2,160614766,43,1,112,14.7,44,3,62,248,4,2,2,0,0,0
20214,1123000001,CS200030,0,0,4017.032751,3834590,0,2,160614766,43,4,112,14.7,44,3,62,248,4,2,2,0,0,0
20214,1123000001,CS300000,2,3,4017.032751,178341853,66.66666667,2,160614766,43,5,112,44.3,665,15,58.8,1824,31,14,14,0,1,0
20214,1123000001,CS300000,2,3,4017.032751,178341853,66.66666667,2,160614766,43,1,112,44.3,665,15,58.8,1824,31,14,14,0,1,0
20214,1123000001,CS300000,2,3,4017.032751,178341853,66.66666667,2,160614766,43,4,112,44.3,665,15,58.8,1824,31,14,14,0,1,0
20214,1123000001,CS300018,0,0,4017.032751,154341853,0,2,160614766,43,5,112,26,26,1,119,357,3,4,4,0,0,0
20214,1123000001,CS300018,0,0,4017.032751,154341853,0,2,160614766,43,1,112,26,26,1,119,357,3,4,4,0,0,0
20214,1123000001,CS300018,0,0,4017.032751,154341853,0,2,160614766,43,4,112,26,26,1,119,357,3,4,4,0,0,0
20214,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,5,112,52,104,2,36,108,3,2,2,0,0,0
20214,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,1,112,52,104,2,36,108,3,2,2,0,0,0
20214,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,4,112,52,104,2,36,108,3,2,2,0,0,0
20221,1123000001,CS000000,2,3,4017.032751,1449829869,66.66666667,2,160614766,43,4,112,41.1,864,21,82.1,4763,58,27,27,0,0,0
20221,1123000001,CS000000,2,3,4017.032751,1449829869,66.66666667,2,160614766,43,1,112,41.1,864,21,82.1,4763,58,27,27,0,0,0
20221,1123000001,CS000000,2,3,4017.032751,1449829869,66.66666667,2,160614766,43,3,112,41.1,864,21,82.1,4763,58,27,27,0,0,0
20221,1123000001,CS200000,0,0,4017.032751,1242382729,0,2,160614766,43,4,112,37.6,263,7,107.5,2365,22,12,12,0,0,0
20221,1123000001,CS200000,0,0,4017.032751,1242382729,0,2,160614766,43,1,112,37.6,263,7,107.5,2365,22,12,12,0,0,0
20221,1123000001,CS200000,0,0,4017.032751,1242382729,0,2,160614766,43,3,112,37.6,263,7,107.5,2365,22,12,12,0,0,0
20221,1123000001,CS200030,0,0,4017.032751,3195492,0,2,160614766,43,4,112,15.7,47,3,63.5,254,4,2,2,0,0,0
20221,1123000001,CS200030,0,0,4017.032751,3195492,0,2,160614766,43,1,112,15.7,47,3,63.5,254,4,2,2,0,0,0
20221,1123000001,CS200030,0,0,4017.032751,3195492,0,2,160614766,43,3,112,15.7,47,3,63.5,254,4,2,2,0,0,0
20221,1123000001,CS300000,2,3,4017.032751,187627084,66.66666667,2,160614766,43,4,112,42.9,601,14,59.9,1857,31,14,14,0,0,0
20221,1123000001,CS300000,2,3,4017.032751,187627084,66.66666667,2,160614766,43,1,112,42.9,601,14,59.9,1857,31,14,14,0,0,0
20221,1123000001,CS300000,2,3,4017.032751,187627084,66.66666667,2,160614766,43,3,112,42.9,601,14,59.9,1857,31,14,14,0,0,0
20221,1123000001,CS300018,0,0,4017.032751,171627084,0,2,160614766,43,4,112,29,29,1,122,366,3,4,4,0,0,0
20221,1123000001,CS300018,0,0,4017.032751,171627084,0,2,160614766,43,1,112,29,29,1,122,366,3,4,4,0,0,0
20221,1123000001,CS300018,0,0,4017.032751,171627084,0,2,160614766,43,3,112,29,29,1,122,366,3,4,4,0,0,0
20221,1123000001,CS300022,1,1,4017.032751,16000000,100,2,160614766,43,4,112,55,110,2,38,114,3,2,2,0,0,0
20221,1123000001,CS300022,1,1,4017.032751,16000000,100,2,160614766,43,1,112,55,110,2,38,114,3,2,2,0,0,0
20221,1123000001,CS300022,1,1,4017.032751,16000000,100,2,160614766,43,3,112,55,110,2,38,114,3,2,2,0,0,0
20222,1123000001,CS000000,1,2,4017.032751,1242317614,50,2,160614766,43,2,112,40.8,898,22,82,4836,59,26,26,1,2,0
20222,1123000001,CS200000,0,0,4017.032751,1030687565,0,2,160614766,43,2,112,34.1,273,8,104.4,2402,23,13,13,1,0,0
20222,1123000001,CS200028,0,0,4017.032751,67167298,0,2,160614766,43,2,112,1,1,1,51.5,309,6,2,2,1,0,0
20222,1123000001,CS200030,0,0,4017.032751,2420827,0,2,160614766,43,2,112,16.7,50,3,65,260,4,2,2,0,0,0
20222,1123000001,CS300000,1,2,4017.032751,191248099,50,2,160614766,43,2,112,44.6,625,14,61,1890,31,12,12,0,2,0
20222,1123000001,CS300018,0,0,4017.032751,167248099,0,2,160614766,43,2,112,32,32,1,125,375,3,4,4,0,0,0
20222,1123000001,CS300022,1,1,4017.032751,24000000,100,2,160614766,43,2,112,58,116,2,40,120,3,2,2,0,0,0
20223,1123000001,CS000000,0,1,4017.032751,1137582289,0,2,160614766,43,6,112,38.7,812,21,83.2,4911,59,26,26,0,0,0
20223,1123000001,CS200000,0,0,4017.032751,904833665,0,2,160614766,43,6,112,35.6,285,8,106.1,2441,23,13,13,0,0,0
20223,1123000001,CS200028,0,0,4017.032751,61106981,0,2,160614766,43,6,112,4,4,1,52.5,315,6,2,2,0,0,0
20223,1123000001,CS200030,0,0,4017.032751,532582,0,2,160614766,43,6,112,17.7,53,3,66.5,266,4,2,2,0,0,0
20223,1123000001,CS300000,0,1,4017.032751,186484083,0,2,160614766,43,6,112,40.5,527,13,62,1923,31,12,12,0,0,0
20223,1123000001,CS300018,0,0,4017.032751,162484083,0,2,160614766,43,6,112,35,35,1,128,384,3,4,4,0,0,0
20223,1123000001,CS300022,0,0,4017.032751,24000000,0,2,160614766,43,6,112,61,122,2,42,126,3,2,2,0,0,0
20224,1123000001,CS000000,1,1,4017.032751,1236477469,100,2,160614766,43,2,126,40.2,845,21,84.5,4986,59,26,26,0,0,0
20224,1123000001,CS200000,0,0,4017.032751,944117709,0,2,160614766,43,2,126,37.1,297,8,107.8,2480,23,13,13,0,0,0
20224,1123000001,CS200028,0,0,4017.032751,50182282,0,2,160614766,43,2,126,7,7,1,53.5,321,6,2,2,0,0,0
20224,1123000001,CS200030,0,0,4017.032751,561632,0,2,160614766,43,2,126,18.7,56,3,68,272,4,2,2,0,0,0
20224,1123000001,CS300000,1,1,4017.032751,232494437,100,2,160614766,43,2,126,42.2,548,13,63.1,1956,31,12,12,0,0,0
20224,1123000001,CS300018,1,1,4017.032751,208494437,100,2,160614766,43,2,126,38,38,1,131,393,3,4,4,0,0,0
20224,1123000001,CS300022,0,0,4017.032751,24000000,0,2,160614766,43,2,126,64,128,2,44,132,3,2,2,0,0,0
20231,1123000001,CS000000,1,1,4017.032751,1302854835,100,2,160614766,43,2,126,41.8,878,21,85.8,5061,59,26,26,0,0,0
20231,1123000001,CS200000,0,0,4017.032751,853476920,0,2,160614766,43,2,126,38.6,309,8,109.5,2519,23,13,13,0,0,0
20231,1123000001,CS200028,0,0,4017.032751,53463713,0,2,160614766,43,2,126,10,10,1,54.5,327,6,2,2,0,0,0
20231,1123000001,CS300000,1,1,4017.032751,392153493,100,2,160614766,43,2,126,43.8,569,13,64.2,1989,31,12,12,0,0,0
20231,1123000001,CS300018,1,1,4017.032751,370367998,100,2,160614766,43,2,126,41,41,1,134,402,3,4,4,0,0,0
20231,1123000001,CS300022,0,0,4017.032751,21785495,0,2,160614766,43,2,126,67,134,2,46,138,3,2,2,0,0,0
20233,1123000001,CS000000,2,2,4017.032751,1234675558,100,2,160614766,43,1,126,45,944,21,89.1,5343,60,27,27,0,0,0
20233,1123000001,CS200000,1,1,4017.032751,996420785,100,2,160614766,43,1,126,41.6,333,8,112.9,2597,23,13,13,0,0,0
20233,1123000001,CS200028,0,0,4017.032751,47422273,0,2,160614766,43,1,126,16,16,1,56.5,339,6,2,2,0,0,0
20233,1123000001,CS200030,1,1,4017.032751,23370665,100,2,160614766,43,1,126,21.7,65,3,72.5,290,4,2,2,0,0,0
20233,1123000001,CS300000,1,1,4017.032751,210242901,100,2,160614766,43,1,126,47,611,13,68.3,2187,32,13,13,0,0,0
20233,1123000001,CS300018,1,1,4017.032751,186242901,100,2,160614766,43,1,126,47,47,1,140,420,3,4,4,0,0,0
20233,1123000001,CS300022,0,0,4017.032751,24000000,0,2,160614766,43,1,126,73,146,2,50,150,3,2,2,0,0,0
20202,1123000004,CS000000,1,3,3286.030198,1288546915,33.33333333,6,153826471,41,1,123,31.6,379,12,99.4,4873,49,16,16,0,0,0
20202,1123000004,CS200000,0,1,3286.030198,1048463975,0,6,153826471,41,1,123,39.6,277,7,122.5,2573,21,9,9,0,0,0
20202,1123000004,CS300000,1,2,3286.030198,240082940,50,6,153826471,41,1,123,20.4,102,5,87.6,2103,24,7,7,0,0,0
20203,1123000004,CS000000,1,2,3286.030198,1337132485,50,6,153826471,41,1,123,32.8,394,12,100.4,4918,49,16,16,0,0,0
20203,1123000004,CS200000,0,1,3286.030198,1061836720,0,6,153826471,41,1,123,40.9,286,7,123.8,2600,21,9,9,0,0,0
20203,1123000004,CS300000,1,1,3286.030198,275295765,100,6,153826471,41,1,123,21.6,108,5,88.4,2121,24,7,7,0,0,0
20204,1123000004,CS000000,1,1,3286.030198,1355779257,100,6,153826471,41,1,135,29.6,326,11,101.3,4963,49,16,16,0,0,0
20204,1123000004,CS200000,0,0,3286.030198,1041468585,0,6,153826471,41,1,135,35.3,212,6,125.1,2627,21,9,9,0,0,0
20204,1123000004,CS300000,1,1,3286.030198,314310672,100,6,153826471,41,1,135,22.8,114,5,89.1,2139,24,7,7,0,0,0
20211,1123000004,CS000000,0,1,3286.030198,1269252796,0,6,153826471,41,1,135,31,341,11,102.2,5008,49,16,16,0,0,0
20211,1123000004,CS200000,0,0,3286.030198,972624052,0,6,153826471,41,1,135,36.8,221,6,126.4,2654,21,9,9,0,0,0
20211,1123000004,CS300000,0,1,3286.030198,296628744,0,6,153826471,41,1,135,24,120,5,89.9,2157,24,7,7,0,0,0
20213,1123000004,CS000000,1,2,3286.030198,1289074277,50,6,153826471,41,2,135,29.8,298,10,102,5099,50,17,17,1,0,0
20213,1123000004,CS200000,1,1,3286.030198,1010472872,100,6,153826471,41,2,135,41,205,5,129,2708,21,9,9,0,0,0
20213,1123000004,CS300000,0,1,3286.030198,278601405,0,6,153826471,41,2,135,18.6,93,5,87.8,2194,25,8,8,1,0,0
20214,1123000004,CS000000,1,2,3286.030198,1614341563,50,6,153826471,41,3,135,28.7,316,11,100.9,5147,51,17,17,1,1,0
20214,1123000004,CS200000,1,1,3286.030198,1324502116,100,6,153826471,41,3,135,42.8,214,5,130.2,2735,21,9,9,0,0,0
20214,1123000004,CS300000,0,1,3286.030198,289839447,0,6,153826471,41,3,135,17,102,6,85.2,2215,26,8,8,1,1,0
20221,1123000004,CS000000,1,1,3286.030198,1386748734,100,6,153826471,41,4,135,30.6,337,11,101.9,5198,51,17,17,0,0,0
20221,1123000004,CS200000,1,1,3286.030198,1110138357,100,6,153826471,41,4,135,44.6,223,5,131.5,2762,21,9,9,0,0,0
20221,1123000004,CS300000,0,0,3286.030198,276610377,0,6,153826471,41,4,135,19,114,6,86.1,2239,26,8,8,0,0,0
20222,1123000004,CS000000,1,1,3286.030198,1538338664,100,6,153826471,41,2,135,32.5,358,11,102.9,5249,51,17,17,0,0,0
20222,1123000004,CS200000,1,1,3286.030198,1253150210,100,6,153826471,41,2,135,46.4,232,5,132.8,2789,21,9,9,0,0,0
20222,1123000004,CS300000,0,0,3286.030198,285188454,0,6,153826471,41,2,135,21,126,6,87,2263,26,8,8,0,0,0
20223,1123000004,CS000000,0,0,3286.030198,1439825009,0,6,153826471,41,3,135,34.5,379,11,103.9,5300,51,17,17,0,0,0
20223,1123000004,CS200000,0,0,3286.030198,1143016695,0,6,153826471,41,3,135,48.2,241,5,134.1,2816,21,9,9,0,0,0
20223,1123000004,CS300000,0,0,3286.030198,296808314,0,6,153826471,41,3,135,23,138,6,88,2287,26,8,8,0,0,0
20204,1123000005,CS000000,3,4,6411.81233,5285929,75,1,484568625,161,1,293,32.3,841,26,67.1,5298,79,19,21,2,1,2
20204,1123000005,CS100000,1,1,6411.81233,5285929,100,1,484568625,161,1,293,30,270,9,63.4,1901,30,5,6,1,1,1
20204,1123000005,CS100001,0,0,6411.81233,5285929,0,1,484568625,161,1,293,31.6,158,5,58.8,999,17,1,2,1,1,1
20211,1123000005,CS000000,1,1,6411.81233,31016965,100,1,484568625,161,2,293,32.6,848,26,66.8,5340,80,18,20,1,1,2
20211,1123000005,CS100000,0,0,6411.81233,31016965,0,1,484568625,161,2,293,31.6,253,8,63.8,1913,30,5,6,0,0,1
20211,1123000005,CS100001,0,0,6411.81233,31016965,0,1,484568625,161,2,293,33.8,135,4,58.9,1002,17,1,2,0,0,1
20212,1123000005,CS000000,1,1,6411.81233,34288452,100,1,484568625,161,3,293,34,884,26,67.3,5385,80,17,19,0,1,2
20212,1123000005,CS100000,0,0,6411.81233,34288452,0,1,484568625,161,3,293,32.8,262,8,64.2,1925,30,5,6,0,0,1
20212,1123000005,CS100001,0,0,6411.81233,34288452,0,1,484568625,161,3,293,34.5,138,4,59.1,1005,17,1,2,0,0,1
20213,1123000005,CS000000,2,3,6411.81233,40150017,66.66666667,1,484568625,161,4,293,35.4,920,26,67.9,5430,80,17,19,0,0,2
20213,1123000005,CS100000,1,1,6411.81233,40150017,100,1,484568625,161,4,293,33.9,271,8,64.6,1937,30,5,6,0,0,1
20213,1123000005,CS100001,0,0,6411.81233,40150017,0,1,484568625,161,4,293,35.3,141,4,59.3,1008,17,1,2,0,0,1
20214,1123000005,CS000000,3,6,6411.81233,31226042,50,1,484568625,161,2,293,35.3,918,26,67.6,5475,81,17,19,1,1,2
20214,1123000005,CS100000,1,2,6411.81233,31226042,50,1,484568625,161,2,293,35,280,8,65,1949,30,5,6,0,0,1
20214,1123000005,CS100001,0,0,6411.81233,31226042,0,1,484568625,161,2,293,36,144,4,59.5,1011,17,1,2,0,0,1
20221,1123000005,CS000000,4,7,6411.81233,26413902,57.14285714,1,484568625,161,1,293,35.5,924,26,67.4,5525,82,18,20,1,0,2
20221,1123000005,CS100000,1,2,6411.81233,26413902,50,1,484568625,161,1,293,32,256,8,63.3,1963,31,6,7,1,0,1
20221,1123000005,CS100001,0,0,6411.81233,26413902,0,1,484568625,161,1,293,37.3,112,3,59.6,1014,17,1,2,0,0,1
20222,1123000006,CS000000,0,1,1289.783006,126636621,0,1,14864427,7,1,24,31.4,251,8,48.8,976,20,4,4,1,0,0
20222,1123000006,CS100000,0,1,1289.783006,126636621,0,1,14864427,7,1,24,22.3,67,3,55.4,277,5,2,2,0,0,0
20222,1123000006,CS100001,0,0,1289.783006,126636621,0,1,14864427,7,1,24,33,33,1,24,48,2,1,1,0,0,0
20223,1123000006,CS000000,1,2,1289.783006,129278427,50,1,14864427,7,3,24,32.9,263,8,49.4,988,20,4,4,0,0,0
20223,1123000006,CS100000,1,2,1289.783006,129278427,50,1,14864427,7,3,24,24.3,73,3,56.6,283,5,2,2,0,0,0
20223,1123000006,CS100001,1,1,1289.783006,129278427,100,1,14864427,7,3,24,36,36,1,25.5,51,2,1,1,0,0,0
20224,1123000006,CS000000,1,1,1289.783006,140078086,100,1,14864427,7,1,22,34.4,275,8,50,1000,20,4,4,0,0,0
20224,1123000006,CS100000,1,1,1289.783006,140078086,100,1,14864427,7,1,22,26.3,79,3,57.8,289,5,2,2,0,0,0
20224,1123000006,CS100001,1,1,1289.783006,140078086,100,1,14864427,7,1,22,39,39,1,27,54,2,1,1,0,0,0
20231,1123000006,CS000000,1,1,1289.783006,129136700,100,1,14864427,7,1,22,35.9,287,8,50.6,1012,20,4,4,0,0,0
20231,1123000006,CS100000,1,1,1289.783006,129136700,100,1,14864427,7,1,22,28.3,85,3,59,295,5,2,2,0,0,0
20231,1123000006,CS100001,1,1,1289.783006,129136700,100,1,14864427,7,1,22,42,42,1,28.5,57,2,1,1,0,0,0
20201,1123000008,CS000000,1,2,3931.993568,778156104,50,7,424459091,117,2,187,32.6,783,24,61.6,4314,70,17,23,2,0,6
20201,1123000008,CS000000,1,2,3931.993568,778156104,50,7,424459091,117,1,187,32.6,783,24,61.6,4314,70,17,23,2,0,6
20201,1123000008,CS100000,0,0,3931.993568,241857472,0,7,424459091,117,2,187,37.1,260,7,59.8,1076,18,4,8,1,0,4
20201,1123000008,CS100000,0,0,3931.993568,241857472,0,7,424459091,117,1,187,37.1,260,7,59.8,1076,18,4,8,1,0,4
20201,1123000008,CS100001,0,0,3931.993568,64076885,0,7,424459091,117,2,187,28,28,1,78.6,550,7,1,2,0,0,1
20201,1123000008,CS100001,0,0,3931.993568,64076885,0,7,424459091,117,1,187,28,28,1,78.6,550,7,1,2,0,0,1
20201,1123000008,CS100009,0,0,3931.993568,177780587,0,7,424459091,117,2,187,34,68,2,44.8,224,5,2,2,0,0,0
20201,1123000008,CS100009,0,0,3931.993568,177780587,0,7,424459091,117,1,187,34,68,2,44.8,224,5,2,2,0,0,0
20201,1123000008,CS200000,0,0,3931.993568,300191061,0,7,424459091,117,2,187,24,120,5,69,759,11,6,6,0,0,0
20201,1123000008,CS200000,0,0,3931.993568,300191061,0,7,424459091,117,1,187,24,120,5,69,759,11,6,6,0,0,0
20201,1123000008,CS300000,1,2,3931.993568,236107571,50,7,424459091,117,2,187,33.6,403,12,60.5,2479,41,7,9,1,0,2
20201,1123000008,CS300000,1,2,3931.993568,236107571,50,7,424459091,117,1,187,33.6,403,12,60.5,2479,41,7,9,1,0,2
20201,1123000008,CS300016,0,0,3931.993568,236107571,0,7,424459091,117,2,187,56,56,1,122.5,245,2,0,1,0,0,1
20201,1123000008,CS300016,0,0,3931.993568,236107571,0,7,424459091,117,1,187,56,56,1,122.5,245,2,0,1,0,0,1
20202,1123000008,CS000000,3,3,3931.993568,820236627,100,7,424459091,117,3,187,32.2,836,26,60.8,4379,72,19,25,2,0,6
20202,1123000008,CS000000,3,3,3931.993568,820236627,100,7,424459091,117,1,187,32.2,836,26,60.8,4379,72,19,25,2,0,6
20202,1123000008,CS000000,3,3,3931.993568,820236627,100,7,424459091,117,2,187,32.2,836,26,60.8,4379,72,19,25,2,0,6
20202,1123000008,CS100000,1,1,3931.993568,213686951,100,7,424459091,117,3,187,34.3,274,8,57.5,1093,19,5,9,1,0,4
20202,1123000008,CS100000,1,1,3931.993568,213686951,100,7,424459091,117,1,187,34.3,274,8,57.5,1093,19,5,9,1,0,4
20202,1123000008,CS100000,1,1,3931.993568,213686951,100,7,424459091,117,2,187,34.3,274,8,57.5,1093,19,5,9,1,0,4
